duration,depth,scramble,is_solved,solve_steps,solution
76.508687,17,10 7 3 10 3 5 6 3 7 0 11 10 9 11 6 11 0,1,25313,
3.226477,17,6 8 10 8 8 6 9 0 4 3 10 0 10 0 4 7 6,1,2045,
153.201721,18,6 9 8 5 10 0 11 11 10 2 4 2 9 10 2 9 7 4,0,30001,
33.610477,18,3 7 8 7 10 11 7 5 3 0 1 11 1 3 4 6 9 1,1,7162,
82.679924,18,0 0 8 6 4 6 9 4 9 2 5 8 7 10 3 1 10 0,0,30001,
123.20163,18,4 1 5 5 9 11 9 1 10 11 4 8 0 7 5 5 5 1,0,30001,
82.12948,18,3 2 0 8 0 9 0 9 6 1 10 8 9 7 10 5 2 10,1,20350,
7.285021,18,3 1 5 9 1 6 6 5 3 7 9 8 5 5 7 0 2 9,1,4415,
14.461465,18,7 11 3 5 1 11 0 8 1 5 3 5 7 2 9 0 0 0,1,4732,
146.133993,18,3 1 11 2 3 10 7 11 9 11 4 1 3 5 6 4 6 2,0,30001,
128.493739,18,3 1 10 8 6 3 7 2 7 0 7 0 9 5 2 3 1 4,0,30001,
95.213962,18,3 4 3 10 11 8 11 2 3 5 2 11 11 9 4 5 9 6,0,30001,
29.946595,18,11 10 8 7 10 10 7 0 4 2 7 3 11 1 9 0 4 7,1,10687,
168.830449,18,11 7 3 10 6 7 5 9 2 0 7 2 1 3 11 7 6 3,0,30001,
115.634483,18,2 2 10 7 11 2 0 3 3 7 5 7 6 3 10 6 7 8,0,30001,
10.238677,18,1 2 1 6 6 6 3 3 7 3 10 10 6 1 11 6 11 9,1,5777,
98.753589,18,8 3 3 0 5 1 11 10 5 7 7 4 3 10 0 10 10 2,0,30001,
161.037472,18,4 3 3 2 0 4 8 11 4 3 3 11 10 8 1 0 2 5,0,30001,
71.607644,18,2 2 5 2 10 11 7 9 0 7 3 6 5 2 10 8 9 2,0,30001,
150.157207,18,10 9 1 0 3 11 10 2 11 10 10 3 0 9 8 6 6 6,0,30001,
94.551206,18,5 9 11 0 5 6 6 7 9 11 3 10 10 0 7 0 3 3,0,30001,
101.747573,18,11 4 4 4 2 9 11 4 5 6 8 5 8 11 7 0 9 1,0,30001,
2.047,19,0 1 5 10 7 10 10 3 11 8 0 11 0 10 1 3 4 9 11,1,1015,
91.870457,19,4 7 11 7 0 8 5 9 8 9 6 8 11 2 10 0 3 2 10,0,30001,
129.081312,19,10 5 1 10 11 0 10 6 3 5 6 10 8 0 5 7 2 0 4,0,30001,
5.397658,19,7 6 8 11 1 4 3 6 1 11 0 0 0 8 10 0 1 6 10,1,4415,
85.518412,19,7 8 10 10 2 4 7 3 8 0 4 1 2 0 4 1 0 11 6,0,30001,
61.69036,19,11 10 6 2 4 0 2 9 10 3 8 11 4 11 0 8 0 10 5,1,18341,
147.251009,19,11 11 10 10 11 6 4 8 6 3 3 11 3 3 7 11 7 4 8,0,30001,
158.373904,19,3 1 6 11 7 10 7 9 11 10 3 1 4 5 9 4 1 8 4,0,30001,
156.280022,19,11 10 1 9 6 4 1 2 9 10 8 10 9 1 11 2 6 1 11,0,30001,
21.084982,19,2 7 6 1 3 2 1 0 2 7 4 1 5 10 5 4 1 0 0,1,9152,
78.664254,19,5 8 9 11 2 9 1 2 5 5 3 8 7 5 5 3 10 6 8,0,30001,
84.550398,19,11 4 3 2 10 11 8 9 6 1 8 9 11 11 10 10 8 10 2,0,30001,
142.618744,19,6 2 1 11 2 6 2 7 10 6 4 11 9 5 2 4 6 4 8,0,30001,
71.010253,19,3 2 5 5 5 9 7 0 3 0 9 2 10 6 9 2 6 11 2,1,15610,
1.938017,19,8 7 10 5 10 7 2 2 4 2 10 6 9 11 9 8 3 7 10,1,1175,
84.571736,19,5 4 3 2 1 10 5 9 0 9 1 4 9 0 0 8 10 6 7,0,30001,
161.865962,19,0 1 1 4 11 11 0 2 7 6 4 6 11 7 3 4 6 4 0,0,30001,
69.660163,19,5 0 3 6 4 2 10 0 8 1 11 10 1 1 11 8 7 9 4,1,14460,
48.668684,19,0 4 8 1 11 7 7 7 8 7 0 0 5 0 5 1 1 6 10,1,9940,
88.896744,19,9 5 9 8 10 11 1 1 11 9 1 4 3 8 9 8 4 3 4,1,22563,
9.549775,20,7 5 4 11 11 9 4 3 11 3 10 5 9 8 4 0 8 1 11 11,1,4701,
109.132063,20,10 5 8 10 7 4 11 9 7 5 2 10 3 1 0 3 3 8 4 3,0,30001,
116.119324,20,7 8 5 2 0 5 10 3 1 9 5 6 6 7 7 10 1 11 8 10,0,30001,
120.29865,20,7 8 6 6 2 5 10 6 2 5 7 6 7 9 7 3 7 10 3 10,0,30001,
139.876099,20,1 8 10 0 7 5 1 2 11 6 11 11 9 11 7 3 5 10 0 7,0,30001,
100.711206,20,10 2 10 8 5 6 8 7 0 4 0 1 2 5 1 9 5 1 11 1,0,30001,
91.741063,20,10 8 0 2 10 6 2 11 11 10 10 7 8 0 9 7 0 7 3 11,0,30001,
11.459339,20,5 5 2 1 9 0 8 10 11 3 6 9 4 2 3 3 0 1 3 10,1,4506,
81.218723,20,1 3 2 2 4 5 2 1 1 0 2 11 1 0 10 5 9 10 8 10,0,30001,
80.836582,20,8 8 4 8 3 1 6 5 6 2 5 1 4 1 4 4 2 11 0 2,0,30001,
4.624085,20,4 1 3 1 6 1 10 3 3 3 10 8 3 3 8 4 11 0 2 5,1,2924,
64.134597,20,7 3 4 3 3 8 3 4 6 2 4 3 6 1 5 2 5 6 3 2,1,20438,
72.548937,20,0 2 5 9 0 3 10 11 10 2 0 7 5 5 4 3 3 7 11 6,1,23606,
7.54813,20,2 7 3 3 8 9 10 8 9 11 10 8 6 1 10 7 5 8 10 0,1,3786,
110.961632,20,8 9 10 11 10 7 0 4 8 7 9 11 8 5 9 7 5 4 8 7,0,30001,
70.430266,20,0 10 8 9 4 3 4 3 4 7 4 11 2 10 3 3 2 0 5 6,0,30001,
97.810843,20,10 2 2 2 1 11 2 10 2 7 11 11 4 2 4 0 1 10 1 3,0,30001,
4.400762,20,6 4 5 2 5 4 3 10 5 10 8 0 8 5 4 1 0 2 3 2,1,2094,
66.676581,20,3 6 11 4 0 0 7 7 7 4 7 8 0 4 6 5 7 5 0 9,0,30001,
108.764423,20,10 9 9 5 4 2 10 0 9 10 9 1 1 5 10 3 5 0 8 3,0,30001,
