duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
26.702976,12,3 0 5 8 0 0 8 3 0 9 5 8,1,24904,42,16,17,10.88721798
12.256408,12,5 2 9 9 4 2 5 1 2 4 0 9,1,7146,226,12,17,9.87818722
56.118927,12,11 11 2 0 7 2 5 5 7 6 8 10,1,41832,132,10,20,12.01302845
5.846566,12,2 2 1 9 4 6 7 3 8 10 0 2,1,6910,48,10,16,9.568002441
23.989935,13,0 5 7 2 7 5 0 9 2 11 3 5 2,1,18709,61,9,19,10.94964133
9.548165,13,5 1 0 2 9 10 1 6 9 9 4 8 10,1,7724,7,7,16,10.45970489
4.939836,13,1 3 11 8 3 2 11 6 5 4 9 2 6,1,6180,39,9,20,9.612919926
7.469015,13,8 9 1 11 0 8 10 2 1 3 8 11 1,1,5912,43,11,17,9.675382643
119.426734,13,11 2 4 9 4 2 10 0 3 2 9 7 5,0,100001,-1,-1,22,13.08921173
6.37809,13,0 3 6 7 11 1 10 11 4 11 4 7 7,1,6782,79,11,15,8.948256701
49.485927,13,4 7 2 5 8 7 10 5 0 9 0 11 7,1,28140,53,15,19,12.14669471
4.305943,13,2 10 3 4 1 4 9 10 10 2 0 7 11,1,3816,29,7,15,8.317793131
58.429995,13,0 1 3 11 4 7 6 2 0 5 2 4 6,1,46071,47,13,21,11.67815762
9.671126,13,7 2 10 11 7 5 0 4 7 10 9 7 3,1,8036,17,11,17,10.5373286
57.47128,13,10 7 7 7 5 1 3 0 3 7 4 6 2,1,28836,39,13,18,11.95765534
8.401796,13,4 5 10 5 6 8 10 0 8 7 11 8 0,1,8563,91,11,17,10.14544057
2.72694,13,2 10 2 4 1 11 6 4 4 8 3 7 0,1,2257,21,9,14,9.209021232
15.064994,13,10 10 2 7 9 1 9 6 11 6 3 2 6,1,15714,45,13,16,9.890724208
26.239601,13,9 9 6 7 6 8 5 0 5 6 6 8 4,1,17110,121,11,18,11.02415363
25.079432,13,10 8 4 7 6 6 10 9 4 3 2 5 4,1,19832,75,11,17,10.70093721
197.699623,13,2 9 10 2 7 9 9 5 3 1 10 0 11,0,100001,-1,-1,20,12.6701175
