duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
17.647103,15,10 3 10 0 7 6 3 0 0 10 1 10 1 0 11,1,12764,73,13,22,13.27373833
8.003586,15,0 1 1 1 0 7 11 0 10 7 0 11 3 1 1,1,3412,261,7,22,10.87164958
484.766332,15,2 4 6 11 10 7 9 6 1 9 10 2 1 6 2,1,71084,479,13,24,14.61659225
264.869317,15,9 1 9 7 10 9 9 10 11 6 1 2 1 11 10,1,72761,119,17,27,15.77995999
29.998663,15,9 5 8 7 0 2 6 5 8 8 5 9 7 2 1,1,11442,95,17,22,12.91614826
0.419788,15,5 1 2 9 4 4 11 1 11 3 2 9 4 2 9,1,406,49,11,12,7.863096157
0.670204,15,1 5 0 4 4 5 2 2 3 0 0 0 1 8 6,1,460,67,9,11,7.610434284
7.952189,15,3 1 8 7 0 1 9 0 8 0 10 0 3 2 6,1,4992,43,15,19,11.02781939
183.38856,15,5 5 2 6 7 10 6 6 2 1 11 8 5 7 7,1,64944,59,13,23,14.02735364
12.91236,15,7 5 2 6 11 0 4 5 5 1 1 4 7 7 10,1,6794,73,17,19,11.15930303
548.950926,16,0 7 9 0 7 2 7 7 6 3 6 3 2 0 11 7,0,100001,-1,-1,27,15.90723864
3.688995,16,11 9 0 10 6 2 11 0 3 11 6 1 0 1 8 10,1,2868,52,10,16,10.60397806
63.468006,16,10 6 7 3 10 7 7 0 2 9 2 11 0 2 1 11,1,21539,202,14,26,16.09877364
17.369969,16,6 1 11 3 0 11 3 6 5 10 5 9 5 8 9 8,1,9951,70,18,22,12.39081086
111.360132,16,3 7 9 8 10 3 11 9 10 5 0 11 0 11 1 1,1,52525,106,18,24,13.97433363
244.147263,16,8 3 7 0 3 2 11 0 8 4 2 3 0 9 10 7,1,70820,480,18,26,16.06198998
79.336466,16,0 10 10 0 8 6 3 11 7 4 8 6 4 3 6 3,1,44861,174,16,22,13.71213703
7.262479,16,0 5 8 9 6 1 2 6 2 10 2 11 3 4 4 4,1,5119,48,12,21,11.59434069
441.241969,16,7 9 9 9 7 7 2 11 10 5 6 6 10 11 8 10,0,100001,-1,-1,25,15.50466089
53.453662,16,2 5 5 8 5 3 0 11 8 6 10 2 11 3 6 7,1,27691,64,18,22,13.19494281
170.558733,16,1 10 8 3 10 9 8 0 2 1 10 0 8 0 9 10,1,48955,174,14,26,14.51747906
133.526438,16,8 9 10 10 8 7 0 11 10 10 0 4 3 6 10 0,1,28606,108,16,23,13.8568352
101.271043,16,9 2 5 7 2 1 1 8 3 3 2 10 11 3 2 4,1,23152,188,14,25,13.75250208
64.114278,16,1 11 0 4 4 6 9 9 5 8 4 1 1 6 5 8,1,22200,252,14,23,14.57418007
0.749492,16,3 8 6 2 0 8 6 2 10 9 2 0 8 9 6 1,1,502,66,12,15,8.445728412
2.840851,16,3 0 0 0 4 3 6 6 11 7 6 5 6 5 5 3,1,2403,100,12,16,10.08512765
20.295923,16,3 3 6 6 3 3 8 0 10 0 3 3 3 2 9 10,1,11022,52,14,23,14.17347066
70.186113,16,8 8 7 4 6 9 7 8 5 4 1 0 0 11 2 1,1,20053,292,16,22,13.14759362
288.844192,16,11 3 10 10 11 1 6 11 7 8 5 0 3 5 7 11,1,78848,240,20,24,14.9418384
46.373178,16,4 3 6 8 5 1 9 6 6 6 9 11 1 8 0 8,1,21146,114,16,21,13.01807784
62.64605,17,4 3 10 10 9 9 2 4 4 1 2 5 5 0 1 2 6,1,31757,73,15,23,14.39442255
105.415852,17,4 2 7 8 5 6 6 11 1 10 7 2 11 6 8 4 11,1,51168,159,15,25,15.67667229
114.361582,17,10 11 1 2 7 10 8 8 0 11 9 8 10 8 6 6 10,1,29633,363,13,24,14.14017986
16.614624,17,10 8 10 11 8 10 11 8 11 4 0 8 10 6 10 10 0,1,7518,125,11,21,12.35508496
74.866708,17,0 10 3 4 9 8 11 6 4 9 9 11 2 6 4 6 5,1,26270,135,17,22,13.83074547
123.493733,17,6 11 2 1 9 0 2 1 4 2 1 9 2 9 8 6 7,1,33302,175,11,22,13.80358307
47.543445,17,9 9 4 9 11 4 8 10 1 1 5 8 3 10 6 5 0,1,22966,145,15,22,12.92291267
299.543277,17,0 5 8 8 0 4 3 2 4 1 3 7 10 8 10 3 7,1,72489,441,15,24,15.32433853
251.084473,17,2 7 0 11 0 1 6 8 11 9 7 7 5 5 8 0 5,1,80654,383,15,25,14.25144725
16.295182,17,0 11 0 2 6 10 11 11 10 9 2 7 0 2 11 9 1,1,7294,93,13,20,12.72382752
0.071927,17,5 1 9 5 5 2 9 7 3 7 11 3 0 2 7 9 8,1,54,21,9,10,7.349177331
132.149987,17,11 11 9 8 1 4 0 1 3 11 9 6 8 5 7 7 0,1,50241,181,15,23,15.01558658
143.693111,17,8 4 3 5 3 0 1 9 1 8 9 5 0 8 3 2 0,1,75964,103,9,23,14.93622208
130.286713,17,2 0 10 2 7 9 5 10 5 3 8 5 5 1 9 11 11,1,54860,57,19,24,15.44205701
3.307445,17,7 0 2 7 5 8 0 5 0 2 4 9 2 6 6 7 0,1,3188,63,11,18,10.23442129
